"""","社会動態_社会増減数_ (A)=B-C+D_人","社会動態_転入者数_ (B)_人","社会動態_転出者数_ (C)_人","社会動態_補間補正数_(D)_人","自然動態_自然増減数_ (E)=F-G_人","自然動態_出生数_ (F)_人","自然動態_死亡数_ (G)_人","国勢調査及び  推計人口_ (H)_人"
"昭和50年(1975年)","-3318.0","24756.0","28074.0","-","8350.0","16755.0","8405.0","1072118.0"
"","","","","","","","",""
"昭和51年(1976年)","-1943.0","23221.0","25164.0","-","7491.0","15812.0","8321.0","1077666.0"
"昭和52年(1977年)","-3110.0","22122.0","25232.0","-","6639.0","14699.0","8060.0","1081195.0"
"昭和53年(1978年)","-2300.0","21878.0","24178.0","-","6369.0","14429.0","8060.0","1085264.0"
"昭和54年(1979年)","-2961.0","20938.0","23899.0","-","5347.0","13592.0","8245.0","1087650.0"
"昭和55年(1980年)","-5534.0","20526.0","23478.0","-2582.0","4896.0","13598.0","8702.0","1087012.0"
"","","","","","","","",""
"昭和56年(1981年)","-2560.0","21488.0","24048.0","-","4362.0","12988.0","8626.0","1088814.0"
"昭和57年(1982年)","-2695.0","21573.0","24268.0","-","4402.0","12813.0","8411.0","1090521.0"
"昭和58年(1983年)","-4884.0","19893.0","24777.0","-","4215.0","12962.0","8747.0","1089852.0"
"昭和59年(1984年)","-5670.0","19080.0","24750.0","-","4066.0","12733.0","8667.0","1088248.0"
"昭和60年(1985年)","-4523.0","18798.0","23508.0","187.0","3481.0","12236.0","8755.0","1087206.0"
"","","","","","","","",""
"昭和61年(1986年)","-6515.0","17782.0","23044.0","-1253.0","2698.0","11862.0","9164.0","1083389.0"
"昭和62年(1987年)","-6629.0","18383.0","23755.0","-1257.0","2626.0","11607.0","8981.0","1079386.0"
"昭和63年(1988年)","-5315.0","18867.0","22930.0","-1252.0","2022.0","11063.0","9041.0","1076093.0"
"平成元年(1989年)","-3188.0","20589.0","22520.0","-1257.0","1340.0","10542.0","9202.0","1074245.0"
"平成 2年(1990年)","-923.0","22687.0","22357.0","-1253.0","1003.0","10151.0","9148.0","1074325.0"
"","","","","","","","",""
"平成 3年(1991年)","-782.0","22288.0","22677.0","-393.0","870.0","10227.0","9357.0","1074413.0"
"平成 4年(1992年)","220.0","22833.0","22219.0","-394.0","391.0","10159.0","9768.0","1075024.0"
"平成 5年(1993年)","781.0","22547.0","21377.0","-389.0","103.0","9804.0","9701.0","1075908.0"
"平成 6年(1994年)","2337.0","23712.0","20983.0","-392.0","511.0","10113.0","9602.0","1078756.0"
"平成 7年(1995年)","1793.0","22941.0","20757.0","-391.0","-114.0","10021.0","10135.0","1080435.0"
"","","","","","","","",""
"平成 8年(1996年)","-919.0","20752.0","21276.0","-395.0","408.0","10061.0","9653.0","1079924.0"
"平成 9年(1997年)","-1864.0","19895.0","21365.0","-394.0","124.0","10023.0","9899.0","1078184.0"
"平成10年(1998年)","-2355.0","19220.0","21180.0","-395.0","-22.0","9978.0","10000.0","1075807.0"
"平成11年(1999年)","-1887.0","19177.0","20670.0","-394.0","-688.0","9616.0","10304.0","1073232.0"
"平成12年(2000年)","-2772.0","18351.0","20728.0","-395.0","-548.0","9627.0","10175.0","1069912.0"
"","","","","","","","",""
"平成13年(2001年)","-4211.0","17980.0","20739.0","-1452.0","-856.0","9423.0","10279.0","1064845.0"
"平成14年(2002年)","-4911.0","18025.0","21484.0","-1452.0","-1192.0","9047.0","10239.0","1058742.0"
"平成15年(2003年)","-5344.0","17335.0","21226.0","-1453.0","-1705.0","8887.0","10592.0","1051693.0"
"平成16年(2004年)","-4820.0","16855.0","20223.0","-1452.0","-2216.0","8224.0","10440.0","1044657.0"
"平成17年(2005年)","-5326.0","16343.0","20216.0","-1453.0","-3362.0","7955.0","11317.0","1035969.0"
"","","","","","","","",""
"平成18年(2006年)","-3696.0","15675.0","19976.0","605.0","-3244.0","7927.0","11171.0","1029029.0"
"平成19年(2007年)","-4131.0","14972.0","19709.0","606.0","-3323.0","7412.0","10735.0","1021575.0"
"平成20年(2008年)","-3663.0","14278.0","18546.0","605.0","-3699.0","7891.0","11590.0","1014213.0"
"平成21年(2009年)","-2023.0","14551.0","17180.0","606.0","-4058.0","7729.0","11787.0","1008132.0"
"平成22年(2010年)","-1658.0","13812.0","16076.0","606.0","-4276.0","7584.0","11860.0","1002198.0"
"","","","","","","","",""
"平成23年(2011年)","-2258.0","14103.0","16361.0","-","-5082.0","7433.0","12515.0","994858.0"
"平成24年(2012年)","-2606.0","13547.0","16153.0","-","-4769.0","7477.0","12246.0","987483.0"
"平成25年(2013年)","-2505.0","13652.0","16157.0","-","-5624.0","7243.0","12867.0","979354.0"
"平成26年(2014年)","-2900.0","13412.0","16312.0","-","-5551.0","7046.0","12597.0","970903.0"
